[2017-07-24 13:27:20.933] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /login 304 
[2017-07-24 13:27:20.969] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
[2017-07-24 13:27:20.970] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-2.1.4.min.js 304 
[2017-07-24 13:27:20.971] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/imgValidate.js 304 
[2017-07-24 13:27:20.973] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/imgValidate.css 304 
[2017-07-24 13:27:21.006] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/background.jpg 304 
[2017-07-24 13:27:21.010] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/user.png 304 
[2017-07-24 13:27:21.020] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/password.png 304 
[2017-07-24 13:27:21.063] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /favicon.ico 404 
[2017-07-24 13:33:27.740] [INFO] logInfo - ::ffff:127.0.0.1 -  POST /login 302 
[2017-07-24 13:33:27.744] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /login 200 
[2017-07-24 13:33:27.767] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
[2017-07-24 13:33:27.767] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-2.1.4.min.js 304 
[2017-07-24 13:33:27.770] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/imgValidate.css 304 
[2017-07-24 13:33:27.770] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/imgValidate.js 304 
[2017-07-24 13:33:27.806] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/background.jpg 304 
[2017-07-24 13:33:27.806] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/user.png 304 
[2017-07-24 13:33:27.808] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/password.png 304 
[2017-07-24 13:33:32.255] [INFO] logInfo - ::ffff:127.0.0.1 -  POST /login 302 
[2017-07-24 13:33:32.260] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /login 200 
[2017-07-24 13:33:32.285] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
[2017-07-24 13:33:32.286] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-2.1.4.min.js 304 
[2017-07-24 13:33:32.286] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/imgValidate.js 304 
[2017-07-24 13:33:32.289] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/imgValidate.css 304 
[2017-07-24 13:33:32.309] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/background.jpg 304 
[2017-07-24 13:33:32.310] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/user.png 304 
[2017-07-24 13:33:32.311] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/password.png 304 
[2017-07-24 13:33:36.725] [INFO] logInfo - ::ffff:127.0.0.1 -  POST /login 302 
[2017-07-24 13:33:36.729] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /login 200 
[2017-07-24 13:33:36.747] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
[2017-07-24 13:33:36.747] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-2.1.4.min.js 304 
[2017-07-24 13:33:36.747] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/imgValidate.js 304 
[2017-07-24 13:33:36.749] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/imgValidate.css 304 
[2017-07-24 13:33:36.779] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/background.jpg 304 
